SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SALAZAR CROSSROADS ACADEMY, ROBSTOWN, TX, 701 N 1ST ST
SALEM ELEMENTARY SCHOOL, BENTON, AR, 2701 SALEM RD
SALEM HIGH SCHOOL, SALEM, NJ, 219 WALNUT ST
SALEM HILLS ELEMENTARY, INVER GROVE HEIGHTS, MN, 5899 BABCOCK TR E
SALEM LUTHERAN SCHOOL, MILWAUKEE, WI, 6844 N 107TH ST
SALEM SR. HIGH, SALEM, MO, 1400 TIGER PRIDE DR
SALEM UPPER ELEM., SALEM, MO, 1601 S DOSS RD
SALESIAN ELEMENTARY & JUNIOR HIGH SCHOOL, CORRALITOS, CA, 605 ENOS LN
SALESIAN HIGH SCHOOL, RICHMOND, CA, 2851 SALESIAN AVE
SALIDA MIDDLE SCHOOL - VELLA CAMPUS, SALIDA, CA, 5041 TOOMES RD.
SALINE HIGH SCHOOL, SALINE, MI, 1300 CAMPUS PKWY
SALISBURY CHRISTIAN SCHOOL, SALISBURY, MD, 807 PARKER RD
SALISBURY COMMUNITY SCHOOL, SALISBURY, VT, 286 KELLY CROSS ROAD
SALISBURY HIGH, SALISBURY, MO, 1000 S MAPLE AVE
SALON & SPA INSTITUTE, BROWNSVILLE, TX, 2695 NORTH CORIA STREET
SALT FORK HIGH SCHOOL, CATLIN, IL, 701 W VERMILION ST
SALT FORK JUNIOR HIGH SCHOOL, SIDELL, IL, 7087 N 600 EAST RD
SALT RIVER ACCELERATED LEARNING ACADEMY, SCOTTSDALE, AZ, 10000 EAST MCDOWELL ROAD
SALVATORE R. CALABRO, HOBOKEN, NJ, 524 PARK AVENUE
SALVE REGINA CATHOLIC ACADEMY, BROOKLYN, NY, 237 JEROME ST
SAM BARLOW HIGH SCHOOL, GRESHAM, OR, 5105 SE 302ND AVE
SAM D. PANTER ELEMENTARY SCHOOL, HIRAM, GA, 190 PANTER SCHOOL RD
SAM HOUSTON EL, MARSHALL, TX, 2905 E TRAVIS
SAM HOUSTON EL, ODESSA, TX, 300 E 37TH ST
SAM HOUSTON ELEMENTARY, EAGLE PASS, TX, 2781 FM1021
SAM HOUSTON ELEMENTARY, LEBANON, TN, 207 OAKDALE DR
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL, SPRING, TX, 22801 ALDINE WESTFIELD RD
SAM HUGHES ELEMENTARY, TUCSON, AZ, 700 N. WILSON
SAM PERDUE JUVENILE CENTER, PRINCETON, WV, 843 SHELTER ROAD
SAM RAYBURN, BRYAN, TX, 1048 N EARL RUDDER FWY
SAM RAYBURN EL, IVANHOE, TX, 9363 E FM 273
SAM RAYBURN H S, PASADENA, TX, 2121 CHERRYBROOK LN
SAM ROTOLO MIDDLE SCH, BATAVIA, IL, 1501 S RADDANT RD
SAM SALEM COMMUNITY LEARNING CENTER, AKRON, OH, 1222 W WATERLOO RD
SAM TASBY MIDDLE, DALLAS, TX, 7001 FAIR OAKS AVE
SAMARA COMMUNITY SCHOOL, BRONX, NY, 1550 VYSE AVE
SAMARITAN HOSPITAL SCHOOL OF NURSING, TROY, NY, 1300 MASSACHUSETTS AVENUE
SAMISH ELEMENTARY SCHOOL, SEDRO-WOOLLEY, WA, 23953 PRAIRIE ROAD
SAMMY MCCLURE SR. MIDDLE SCHOOL, DALLAS, GA, 315 BOB GROGAN DR
SAMOANA HIGH SCHOOL, PAGO PAGO, AS, BOX DOE
SAMOSET ELEMENTARY SCHOOL, BRADENTON, FL, 3300 19TH ST E
SAMOSET MIDDLE SCHOOL, LAKE RONKONKOMA, NY, 51 SCHOOL ST
SAMOSET SCHOOL, LEOMINSTER, MA, 100 DECICCO DR
SAMPIT ELEMENTARY, GEORGETOWN, SC, 69 WOODLAND AVENUE
SAMPSON ACADEMY, DETROIT, MI, 4700 TIREMAN ST
SAMPSON G. SMITH SCHOOL, SOMERSET, NJ, 1649 AMWELL ROAD
SAMS VALLEY ELEMENTARY SCHOOL, CENTRAL POINT, OR, 14235 TABLE ROCK RD
SAMSON ELEMENTARY SCHOOL, SAMSON, AL, 823 NORTH STATE HWY 87
SAMUEL A. HEYWARD CAREER AND TECHNOLOGY CENTER, COLUMBIA, SC, 3560 LYNHAVEN DRIVE
SAMUEL GOMPERS MIDDLE, LOS ANGELES, CA, 234 E. 112TH ST.
SAMUEL KENNEDY ELEMENTARY, SACRAMENTO, CA, 7037 BRIGGS DR.
SAMUEL MICKLE SCHOOL, MICKLETON, NJ, 559 KINGS HIGHWAY
