name,business_type,state_registered,street_registered,city_registered,zip5_registered,corp_id
"SOUTH EAST ALABAMA DANCING ARTS COUNCIL, INC.",NONPROFIT,AL,,,,736801
DONALDSON CONCRETE CONSTRUCTION CO. OF BHAM,CORPORATION,AL,,BIRMINGHAM,,736804
DOTHAN MOVING PICTURE COMPANY,CORPORATION,AL,,,,736807
"THE DOW LAND COMPANY, INC.",CORPORATION,AL,,BIRMINGHAM,,737038
"DOW LAND COMPANY, INC.",CORPORATION,AL,,BIRMINGHAM,,737040
THE WORSHIP CENTER CHURCH INC.,NONPROFIT,AL,366 GREEN PARK DR,MOBILE,36695,737042
DOWLING'S MUTUAL BURIAL ASS'N.,CORPORATION,AL,,EUFAULA,,737046
THE DOWN THE BAY BLOCK CLUB,NONPROFIT,AL,,,,737047
M. B. TRADING CO.,CORPORATION,AL,,,,737048
"DOWCO INSURANCE AGENCY, INC.",CORPORATION,AL,,TUSCALOOSA,,737049
"DRIPPING SPRINGS CHURCH OF CHRIST, INC.",NONPROFIT,AL,,CULLMAN,,737321
"DRUG SUNDRIES CO., INC.",CORPORATION,AL,,BIRMINGHAM,,737323
DRUG SUNDRIES INC.,CORPORATION,AL,,MONTGOMERY,,737325
DUBOSE IRON CO.,CORPORATION,AL,,BIRMINGHAM,,737326
"DRYER INVESTMENT CO., INC.",CORPORATION,AL,,,,737327
DRYER'S COAL CO.,CORPORATION,AL,,BIRMINGHAM,,737330
"DRYING SYSTEMS, INC.",CORPORATION,AL,,BIRMINGHAM,,737331
"DRUGCRAFT, INCORPORATED",CORPORATION,AL,,BIRMINGHAM,,737334
"DULION INVESTMENT CO., INC.",CORPORATION,AL,,BIRMINGHAM,,737480
DUMAS GROCERY CO.,CORPORATION,AL,,,,737489
"E & B BARBER SHOPS, INC.",CORPORATION,AL,,HUNTSVILLE,,737490
"DUNCAN MOTOR CO., INC.",CORPORATION,AL,,BIRMINGHAM,,737491
"E. & B. DIESEL SERVICE, INC.",CORPORATION,AL,,,,737493
"E. H. R. CREDIT, INC.",CORPORATION,AL,,BIRMINGHAM,,737855
"E & M TRUCKING COMPANY, INC.",CORPORATION,AL,,MONTGOMERY,,737858
"E & R CONSTRUCTION COMPANY, INC.",CORPORATION,AL,,HUNTSVILLE,,737861
"E. R., INC.",CORPORATION,AL,,HUNTSVILLE,,737863
