provider_group_hash,tin_type,tin_value,npi_numbers
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
11681307950572297604,ein,510103684,"[""1255775474""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
3834368096452892410,ein,870737748,"[""1881636108""]"
969747930841591575,ein,951684089,"[""1881636108""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
113802120227051377,ein,466000069,"[""1932281029""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
8985079847344304022,ein,770465765,"[""1265581086"", ""1437292927""]"
15533412318927758142,ein,311667875,"[""1275608457""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
16614850288435199720,ein,311667875,"[""1033262902"", ""1275608457"", ""1528364429"", ""1811174923""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
9139092121103073605,ein,314379443,"[""1265619134"", ""1710164686"", ""1902839673""]"
1693489351835304135,ein,900055846,"[""1013130145""]"
12020672982894290269,ein,450458242,"[""1114914140"", ""1477529030"", ""1518068949"", ""1891893624""]"
3834368096452892410,ein,870737748,"[""1881636108""]"
8898708787571930119,ein,611677183,"[""1881636108""]"
7009835812170890516,ein,870737749,"[""1598921405""]"
969747930841591575,ein,951684089,"[""1881636108""]"
16665668117120544067,ein,841343242,"[""1295159168""]"
5089279781680490378,ein,466000069,"[""1275515579""]"
11086250699873897378,ein,751250450,"[""1124076401""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
12797029838770632797,ein,161492011,"[""1962408203""]"
15948269447035981372,ein,363167726,"[""1417061193""]"
4657910087033540007,ein,930430029,"[""1902016371""]"
1175373420430801827,ein,270036499,"[""1013130145""]"
6760807325239960144,ein,901116753,"[""1417157405""]"
10804414637681494211,ein,646000515,"[""1033238456"", ""1083893937""]"
16780419818522723860,ein,800537724,"[""1760704878""]"
14570992740657493263,ein,390884478,"[""1033172390""]"
11955683914772728725,ein,161533232,"[""1639209596""]"
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
11681307950572297604,ein,510103684,"[""1255775474""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
3834368096452892410,ein,870737748,"[""1881636108""]"
969747930841591575,ein,951684089,"[""1881636108""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
113802120227051377,ein,466000069,"[""1932281029""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
8985079847344304022,ein,770465765,"[""1265581086"", ""1437292927""]"
15533412318927758142,ein,311667875,"[""1275608457""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
16614850288435199720,ein,311667875,"[""1033262902"", ""1275608457"", ""1528364429"", ""1811174923""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
9139092121103073605,ein,314379443,"[""1265619134"", ""1710164686"", ""1902839673""]"
1693489351835304135,ein,900055846,"[""1013130145""]"
12020672982894290269,ein,450458242,"[""1114914140"", ""1477529030"", ""1518068949"", ""1891893624""]"
3834368096452892410,ein,870737748,"[""1881636108""]"
8898708787571930119,ein,611677183,"[""1881636108""]"
7009835812170890516,ein,870737749,"[""1598921405""]"
969747930841591575,ein,951684089,"[""1881636108""]"
16665668117120544067,ein,841343242,"[""1295159168""]"
5089279781680490378,ein,466000069,"[""1275515579""]"
11086250699873897378,ein,751250450,"[""1124076401""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
12797029838770632797,ein,161492011,"[""1962408203""]"
15948269447035981372,ein,363167726,"[""1417061193""]"
4657910087033540007,ein,930430029,"[""1902016371""]"
1175373420430801827,ein,270036499,"[""1013130145""]"
6760807325239960144,ein,901116753,"[""1417157405""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
14570992740657493263,ein,390884478,"[""1033172390""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
16665668117120544067,ein,841343242,"[""1295159168""]"
113802120227051377,ein,466000069,"[""1932281029""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
10804414637681494211,ein,646000515,"[""1033238456"", ""1083893937""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
12020672982894290269,ein,450458242,"[""1114914140"", ""1477529030"", ""1518068949"", ""1891893624""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
5089279781680490378,ein,466000069,"[""1275515579""]"
15948269447035981372,ein,363167726,"[""1417061193""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
4657910087033540007,ein,930430029,"[""1902016371""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
16780419818522723860,ein,800537724,"[""1760704878""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
9139092121103073605,ein,314379443,"[""1265619134"", ""1710164686"", ""1902839673""]"
11955683914772728725,ein,161533232,"[""1639209596""]"
2496426505951428473,ein,510103684,"[""1255775474"", ""1750557112""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
11086250699873897378,ein,751250450,"[""1124076401""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
12797029838770632797,ein,161492011,"[""1962408203""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
12020672982894290269,ein,450458242,"[""1114914140"", ""1477529030"", ""1518068949"", ""1891893624""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
11955683914772728725,ein,161533232,"[""1639209596""]"
11086250699873897378,ein,751250450,"[""1124076401""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
15948269447035981372,ein,363167726,"[""1417061193""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
9139092121103073605,ein,314379443,"[""1265619134"", ""1710164686"", ""1902839673""]"
2496426505951428473,ein,510103684,"[""1255775474"", ""1750557112""]"
16780419818522723860,ein,800537724,"[""1760704878""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
12797029838770632797,ein,161492011,"[""1962408203""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
4657910087033540007,ein,930430029,"[""1902016371""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
10804414637681494211,ein,646000515,"[""1033238456"", ""1083893937""]"
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
16665668117120544067,ein,841343242,"[""1295159168""]"
5089279781680490378,ein,466000069,"[""1275515579""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
113802120227051377,ein,466000069,"[""1932281029""]"
14570992740657493263,ein,390884478,"[""1033172390""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
14296987479548562248,ein,716003252,"[""1972726578""]"
14296987479548562248,ein,716003252,"[""1972726578""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
12020672982894290269,ein,450458242,"[""1114914140"", ""1477529030"", ""1518068949"", ""1891893624""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
11955683914772728725,ein,161533232,"[""1639209596""]"
11086250699873897378,ein,751250450,"[""1124076401""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
15948269447035981372,ein,363167726,"[""1417061193""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
9139092121103073605,ein,314379443,"[""1265619134"", ""1710164686"", ""1902839673""]"
2496426505951428473,ein,510103684,"[""1255775474"", ""1750557112""]"
16780419818522723860,ein,800537724,"[""1760704878""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
12797029838770632797,ein,161492011,"[""1962408203""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
4657910087033540007,ein,930430029,"[""1902016371""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
10804414637681494211,ein,646000515,"[""1033238456"", ""1083893937""]"
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
16665668117120544067,ein,841343242,"[""1295159168""]"
5089279781680490378,ein,466000069,"[""1275515579""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
113802120227051377,ein,466000069,"[""1932281029""]"
14570992740657493263,ein,390884478,"[""1033172390""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
10804414637681494211,ein,646000515,"[""1033238456"", ""1083893937""]"
16780419818522723860,ein,800537724,"[""1760704878""]"
14570992740657493263,ein,390884478,"[""1033172390""]"
11955683914772728725,ein,161533232,"[""1639209596""]"
1569211676137281080,ein,10212444,"[""1023536240"", ""1730547779""]"
9179364159279235213,ein,710236856,"[""1659781151"", ""1740607324"", ""1811388457""]"
3865737513347190278,ein,910564987,"[""1821267907""]"
11681307950572297604,ein,510103684,"[""1255775474""]"
14791668705629951152,ein,221413947,"[""1922104892""]"
3834368096452892410,ein,870737748,"[""1881636108""]"
969747930841591575,ein,951684089,"[""1881636108""]"
4038207934484252271,ein,840175870,"[""1336252295"", ""1679686992"", ""1760595086""]"
18026366511673813290,ein,390830664,"[""1235488867""]"
299928958100645291,ein,390806359,"[""1265798235"", ""1780973826""]"
15843865875847057823,ein,391509362,"[""1265798235"", ""1780973826""]"
14505861112915487106,ein,431240629,"[""1891809679""]"
5984509183511262202,ein,431704371,"[""1073627584"", ""1083728026"", ""1265546048"", ""1891809679""]"
113802120227051377,ein,466000069,"[""1932281029""]"
18174951086053504949,ein,42767880,"[""1275673667""]"
3441661774439738193,ein,370662576,"[""1871547414""]"
1559530874989720074,ein,370813229,"[""1578040275""]"
1576573626976636902,ein,383852646,"[""1578040275"", ""1871547414""]"
14899245309224014059,ein,411843943,"[""1467496133""]"
1991276279838469999,ein,410729979,"[""1114961034"", ""1518983634"", ""1558392852"", ""1740205194"", ""1851344907""]"
9223679259001871609,ein,440605373,"[""1124164082"", ""1366515488"", ""1942346804""]"
17587869786253254559,ein,476028103,"[""1548333214""]"
9200189329545551527,ein,852276567,"[""1144248097"", ""1356366314"", ""1386241834""]"
16673511487144139578,ein,410729979,"[""1114961034"", ""1558392852"", ""1851344907""]"
7180502550506011325,ein,363972171,"[""1154635431""]"
8985079847344304022,ein,770465765,"[""1265581086"", ""1437292927""]"
15533412318927758142,ein,311667875,"[""1275608457""]"
14759466172565751975,ein,863985805,"[""1386309185""]"
13195525730211919719,ein,811723202,"[""1427440809"", ""1710379193"", ""1992120851""]"
8302328924442217438,ein,470375220,"[""1154400844"", ""1205905320"", ""1487724464"", ""1699845016""]"
1762997650552310437,ein,160960470,"[""1043331937""]"
5142594974321558057,ein,860181654,"[""1093868812"", ""1801092564""]"
5369381861280952067,ein,450310462,"[""1144368085"", ""1154346161"", ""1689763195"", ""1760494330"", ""1770672289"", ""1871682344"", ""1962591438""]"
16614850288435199720,ein,311667875,"[""1033262902"", ""1275608457"", ""1528364429"", ""1811174923""]"
18333770855485718577,ein,311439334,"[""1811975279""]"
167289341783242597,ein,853883823,"[""1811975279""]"
